model,epoch,pretrain_type,posttrain_type,slug,experiment,result_file,status,metric,mean,std,seed
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:clean,0.9104370336717352,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:gaussian_noise/sigma=0.05,0.6414773388602494,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:gaussian_noise/sigma=0.10,0.5887112133804223,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:gaussian_noise/sigma=0.20,0.5707761484770277,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:gaussian_noise/sigma=0.30,0.5532504324747767,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:gaussian_blur/sigma=0.5,0.9054505655878324,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:gaussian_blur/sigma=1.0,0.8580568771597196,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:gaussian_blur/sigma=2.0,0.7462341778607745,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:gaussian_blur/sigma=3.0,0.7037216646187723,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:brightness/delta=+0.1,0.900935224302388,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:brightness/delta=+0.2,0.8594276896715023,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:brightness/delta=-0.1,0.9107942320326816,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:brightness/delta=-0.2,0.9059104662790566,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:contrast/factor=1.5,0.8601959513024352,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:contrast/factor=2.0,0.8128705365307665,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:contrast/factor=0.5,0.8784799701589633,,
I-JEPA-H/300,300,ijepa,raw,ijepa_h300,exp1,/home/uic2/Raymond/JEPA/results/exp1_ijepa_h300/robustness_curve.csv,complete,macro_auroc:contrast/factor=0.25,0.7666363879415354,,
