Condition,MAE-H/97,MAE-H/300,I-JEPA-H/95,I-JEPA-H/201
Clean,0.895,0.891,0.910,0.916
"Noise
sigma 0.05","0.788
(drop 0.107; d 0.14)","0.776
(drop 0.114; d 0.17)","0.762
(drop 0.149; d 0.89)","0.643
(drop 0.273; d 0.87)"
"Noise
sigma 0.10","0.647
(drop 0.249; d 0.32)","0.618
(drop 0.273; d 0.32)","0.631
(drop 0.280; d 0.98)","0.596
(drop 0.320; d 0.96)"
"Noise
sigma 0.20","0.521
(drop 0.374; d 0.44)","0.490
(drop 0.401; d 0.34)","0.541
(drop 0.370; d 0.98)","0.586
(drop 0.330; d 0.96)"
"Noise
sigma 0.30","0.513
(drop 0.382; d 0.50)","0.485
(drop 0.406; d 0.34)","0.542
(drop 0.368; d 0.97)","0.588
(drop 0.328; d 0.95)"
"Blur
sigma 0.50","0.891
(drop 0.005; d 0.01)","0.882
(drop 0.009; d 0.01)","0.896
(drop 0.015; d 0.02)","0.910
(drop 0.007; d 0.02)"
"Blur
sigma 1.00","0.804
(drop 0.091; d 0.11)","0.843
(drop 0.048; d 0.08)","0.849
(drop 0.062; d 0.11)","0.856
(drop 0.060; d 0.24)"
"Blur
sigma 2.00","0.743
(drop 0.152; d 0.24)","0.778
(drop 0.112; d 0.15)","0.797
(drop 0.114; d 0.24)","0.775
(drop 0.141; d 0.44)"
"Blur
sigma 3.00","0.749
(drop 0.146; d 0.27)","0.727
(drop 0.164; d 0.19)","0.736
(drop 0.175; d 0.40)","0.754
(drop 0.163; d 0.51)"
"Brightness
delta -0.20","0.888
(drop 0.007; d 0.01)","0.876
(drop 0.015; d 0.03)","0.900
(drop 0.010; d 0.04)","0.909
(drop 0.007; d 0.04)"
"Brightness
delta -0.10","0.895
(drop 0.000; d 0.00)","0.888
(drop 0.003; d 0.01)","0.908
(drop 0.002; d 0.01)","0.916
(drop 0.001; d 0.01)"
"Brightness
delta +0.10","0.883
(drop 0.013; d 0.00)","0.880
(drop 0.010; d 0.00)","0.900
(drop 0.010; d 0.03)","0.907
(drop 0.009; d 0.02)"
"Brightness
delta +0.20","0.811
(drop 0.084; d 0.02)","0.812
(drop 0.079; d 0.02)","0.860
(drop 0.050; d 0.17)","0.858
(drop 0.058; d 0.12)"
"Contrast
factor 0.25","0.772
(drop 0.123; d 0.11)","0.699
(drop 0.192; d 0.14)","0.788
(drop 0.122; d 0.23)","0.771
(drop 0.145; d 0.40)"
"Contrast
factor 0.50","0.881
(drop 0.014; d 0.04)","0.808
(drop 0.083; d 0.05)","0.874
(drop 0.037; d 0.07)","0.889
(drop 0.027; d 0.12)"
"Contrast
factor 1.50","0.822
(drop 0.073; d 0.02)","0.824
(drop 0.067; d 0.02)","0.863
(drop 0.048; d 0.11)","0.855
(drop 0.061; d 0.13)"
"Contrast
factor 2.00","0.773
(drop 0.123; d 0.04)","0.784
(drop 0.107; d 0.05)","0.804
(drop 0.107; d 0.26)","0.797
(drop 0.119; d 0.31)"
