group,n,bbox_area_frac_mean,target_logit_drop_mean,control_logit_drop_mean,delta_logit_drop_mean,delta_logit_ci95_low,delta_logit_ci95_high,delta_logit_pvalue,target_prob_drop_mean,control_prob_drop_mean,delta_prob_drop_mean,delta_prob_ci95_low,delta_prob_ci95_high,delta_prob_pvalue,lesion_cosine_drift_mean,control_cosine_drift_mean,delta_cosine_drift_mean,delta_cosine_ci95_low,delta_cosine_ci95_high,delta_cosine_pvalue,model
Aortic enlargement,607,0.0214525923116363,0.0459547136377856,0.01493786022288,0.0310168534149055,-0.0129656181381969,0.0738826414646927,0.1555422228888555,0.0078518637954648,0.0012001796619417,0.0066516841335231,-0.0009489775624715,0.0141820633544738,0.0819459027048647,0.0129410114869647,0.0046797097394782,0.008261301760528,0.0068811211004801,0.0096875453582991,4.999750012499375e-05,I-JEPA-H/95
Atelectasis,27,0.0544882015306122,1.438167362301438,0.1654276300359655,1.2727397322654723,0.7604143318947819,1.804056660530192,9.99950002499875e-05,0.1421898608268411,0.0263105132556692,0.1158793475711718,0.0555626720513424,0.1810849825717095,0.0003499825008749,0.0326587204579953,0.0158620665908394,0.0167966535912085,0.0012528592518517,0.0370867646967073,0.0865456727163641,I-JEPA-H/95
Calcification,91,0.0125192290171563,-0.0173402273884186,-0.0595041149265163,0.0421638875380977,-0.0015948497205153,0.0911745447280641,0.0776461176941153,-0.0012185430361449,-0.0057883005433173,0.0045697575071724,-8.480141444674135e-05,0.0111275634473281,0.0893455327233638,0.0033520237430111,0.0047035260815371,-0.0013515023250135,-0.0039585387693348,0.0006841158236176,0.3066846657667116,I-JEPA-H/95
Cardiomegaly,444,0.0738592945624195,0.255971111155845,0.0748747487879685,0.1810963623678765,0.0540567721762518,0.306288259603662,0.0048997550122493,0.0389938601544378,0.0128327846069828,0.0261610755474549,0.0054062768318145,0.0465233210155631,0.0139993000349982,0.0501605802559637,0.0148261582483076,0.0353344219730462,0.0326891838007098,0.0382233113744757,4.999750012499375e-05,I-JEPA-H/95
Consolidation,63,0.0495595187479753,0.5155329257249832,-0.0529845579276009,0.5685174836525841,0.4240845142712905,0.7220998707602894,4.999750012499375e-05,0.0813119562919296,-0.0007786311830083,0.0820905874749379,0.0559889740847598,0.1108563948853961,4.999750012499375e-05,0.0207416320603991,0.0141497150069058,0.0065919170983039,-0.0002058430517204,0.0150506409406795,0.0845957702114894,I-JEPA-H/95
ILD,54,0.0818647988709372,0.2080586022800869,-0.341197207459697,0.549255809739784,0.3728445196758818,0.764694613742607,4.999750012499375e-05,0.0192072204275367,-0.0331029783899861,0.0523101988175228,0.0318101226218277,0.0750556165369818,4.999750012499375e-05,0.0315980800875911,0.0233757662731309,0.0082223142068229,-0.0010357930883873,0.018590133479059,0.1096945152742362,I-JEPA-H/95
Infiltration,105,0.0542617605077745,0.2205579187188829,-0.162692674675158,0.383250593394041,0.2834806830528236,0.4942749661860011,4.999750012499375e-05,0.0348246481424818,-0.0096210916207305,0.0444457397632123,0.0317076989278596,0.0575263803528422,4.999750012499375e-05,0.0171811012994675,0.0143264553953139,0.0028546458853053,-0.0024269648659087,0.0091748510937863,0.3547322633868306,I-JEPA-H/95
Lung Opacity,220,0.0396473504174397,0.3158413052558899,-0.0226120582764798,0.3384533635323698,0.2598279178443957,0.4250916897487741,4.999750012499375e-05,0.0606547525194896,0.0003424555152146,0.060312297004275,0.0453290512185035,0.0766594779861731,4.999750012499375e-05,0.0170187979936599,0.0142693982501937,0.0027493996564854,-0.0010195835086927,0.0074163504836707,0.2181390930453477,I-JEPA-H/95
Nodule/Mass,157,0.0154093260512803,-0.0569411683234439,-0.0585014551308504,0.0015602868074064,-0.0275407356745118,0.0289310167269532,0.9128043597820108,-0.0068418818324282,-0.0070595978403309,0.0002177160079027,-0.0041343717716907,0.0043250045836695,0.9235538223088846,0.0055469513698747,0.005252439073377,0.0002945123328543,-0.0020516322834158,0.0027626000828198,0.8216589170541473,I-JEPA-H/95
Other lesion,208,0.0404651587948881,-0.1053216467754772,-0.1126025347898786,0.0072808880144013,-0.0638585888252307,0.0797260852575372,0.8454577271136443,-0.0188123583681702,-0.0179198238761343,-0.0008925344920358,-0.0144875504258043,0.0126709695935446,0.8972551372431379,0.0259892373130871,0.0151076588218407,0.0108815785340276,0.0035757456647685,0.0182130159686697,0.0022998850057497,I-JEPA-H/95
Pleural effusion,195,0.0428465136054421,0.6591355646458956,0.0536561890061085,0.6054793756397869,0.4355746850951169,0.783351410357425,4.999750012499375e-05,0.1167730007371387,0.0102152884085304,0.1065577123286083,0.0782069407991888,0.1361446779998861,4.999750012499375e-05,0.0218396568909669,0.0220108813183077,-0.0001712244474149,-0.0064639632876722,0.007125342130696,0.9614519274036298,I-JEPA-H/95
Pleural thickening,379,0.0163049811365839,0.043108649610844,-0.0646830299225363,0.1077916795333802,0.069047129977406,0.1511872969382002,4.999750012499375e-05,0.0071019429964133,-0.0112543301698616,0.018356273166275,0.0116714388953207,0.0260717677074917,4.999750012499375e-05,0.0037589554421819,0.0049607578217057,-0.0012018023771048,-0.0027009215166235,-4.3306830840965154e-05,0.0723463826808659,I-JEPA-H/95
Pneumothorax,19,0.0648580155746509,-0.0725054991872687,-0.4773076283304316,0.4048021291431629,0.0747287882001776,0.7948784665684949,0.0347982600869956,0.0008723575646351,-0.0140721489405749,0.0149445065052101,0.0011787502924102,0.0322722477699923,0.0842457877106144,0.0209592267086631,0.0344473199679908,-0.0134880932654548,-0.0304527455395528,-7.803815364912375e-05,0.111394430278486,I-JEPA-H/95
Pulmonary fibrosis,304,0.0313618431542024,0.1044446798286547,-0.0963747450199566,0.2008194248486114,0.1465510378075812,0.2602731675111786,4.999750012499375e-05,0.0215140642402203,-0.0164586330108393,0.0379726972510597,0.0273526143024087,0.0494584633830757,4.999750012499375e-05,0.0078320060121385,0.0113632744168362,-0.0035312684040754,-0.0065000902779059,-0.0010215690322907,0.0052497375131243,I-JEPA-H/95
Aortic enlargement,607,0.0214525923116363,0.0932638718573226,-0.054439834808498,0.1477037066658207,0.102662898013138,0.1949437988212537,4.999750012499375e-05,0.017142513651812,-0.0085526873365265,0.0256952009883385,0.0183585810424572,0.0334100392510381,4.999750012499375e-05,0.0156322642056121,0.0069502835261521,0.0086819806380337,0.0072979995183691,0.0100632646062421,4.999750012499375e-05,I-JEPA-H/201
Atelectasis,27,0.0544882015306122,1.0778473946783278,-0.01874977455095,1.0965971692292775,0.6615859814264157,1.5702192774194257,4.999750012499375e-05,0.1243206269745887,0.0055430180600119,0.1187776089145767,0.054430153710095,0.1965702481137985,9.99950002499875e-05,0.0282354906753257,0.012784139281225,0.0154513516096846,0.0022987817942285,0.0363652028646255,0.0147992600369981,I-JEPA-H/201
Calcification,91,0.0125192290171563,-0.0578794037247752,-0.0825355854008223,0.0246561816760471,-0.0183957523140278,0.0660079436872031,0.2522373881305935,-0.0058029825533075,-0.008580908188494,0.0027779256351865,-0.0020419358066539,0.0076509510056412,0.2708364581770911,0.0042944642213674,0.0047915753900299,-0.00049711119105,-0.0024976092816079,0.0022484658838348,0.7899605019749013,I-JEPA-H/201
Cardiomegaly,444,0.0738592945624195,0.4022548489968989,0.1424508854914624,0.2598039635054364,0.1584465899322442,0.3594921560481249,4.999750012499375e-05,0.0611990327518936,0.0253704470687185,0.0358285856831751,0.0189551781728205,0.0523008793488518,4.999750012499375e-05,0.0521178122039313,0.0201606938729759,0.0319571183545531,0.0281652000394224,0.035725963607809,4.999750012499375e-05,I-JEPA-H/201
Consolidation,63,0.0495595187479753,0.2842057475021907,-0.1516048390240896,0.4358105865262804,0.2992376653329721,0.5806229907558078,4.999750012499375e-05,0.0600173529385337,-0.0114942134697995,0.0715115664083333,0.0471638392345861,0.0979911651274943,4.999750012499375e-05,0.028524653306083,0.0175537309269346,0.010970922356974,0.0031097932935356,0.0208248783690838,0.007999600019999,I-JEPA-H/201
ILD,54,0.0818647988709372,0.3066188058367482,-0.0918176800012588,0.398436485838007,0.2636428096228176,0.5484891989937536,4.999750012499375e-05,0.0212197499091012,-0.0066905925490169,0.0279103424581181,0.0150978724730925,0.04193608348025,0.0002999850007499,0.0407089657253689,0.0310432985608241,0.0096656669791425,-0.0025818458241971,0.0225649631544203,0.1489925503724813,I-JEPA-H/201
Infiltration,105,0.0542617605077745,0.2391971883319673,-0.1291529297757716,0.3683501181077389,0.2544796520970052,0.4836516267419571,4.999750012499375e-05,0.0437116059718564,-0.0060310501055348,0.0497426560773913,0.0341067194839429,0.0666942738395051,4.999750012499375e-05,0.018734209878104,0.0186658257757136,6.838402034537423e-05,-0.0042995833398474,0.0052542814682376,0.9803509824508776,I-JEPA-H/201
Lung Opacity,220,0.0396473504174397,0.1298576744611967,-0.1629716446589339,0.2928293191201308,0.2158442372847348,0.3752800308853727,4.999750012499375e-05,0.0275641499320045,-0.0224861651345748,0.0500503150665793,0.0364609236807393,0.0640063569684597,4.999750012499375e-05,0.0198372930288314,0.0142156605813811,0.0056216324415634,0.0021426987773768,0.0096567278704787,0.0025498725063746,I-JEPA-H/201
Nodule/Mass,157,0.0154093260512803,-0.0941795312864765,-0.0847628818670655,-0.0094166494194109,-0.0535712925456226,0.0314797901495056,0.6740662966851657,-0.0111416705623031,-0.0098446152671269,-0.0012970552951761,-0.0090570335669419,0.0059247930847986,0.7428128593570321,0.007339580423513,0.0071844021070197,0.0001551782949898,-0.0012363704842598,0.0016813132423492,0.8417079146042697,I-JEPA-H/201
Other lesion,208,0.0404651587948881,-0.1779750066164594,-0.150352824321733,-0.0276221822947263,-0.0972584900413998,0.0476241820122903,0.4624268786560672,-0.0304441198643941,-0.0244880705006205,-0.0059560493637736,-0.0197465838996308,0.0089913228696409,0.4234788260586971,0.0241900676718124,0.0158115305865836,0.0083785371149273,0.0031496615835399,0.0145837498691819,0.0029498525073746,I-JEPA-H/201
Pleural effusion,195,0.0428465136054421,0.7227553570881868,-0.0782838667623507,0.8010392238505376,0.5954891084957963,1.0215534763915988,4.999750012499375e-05,0.0985613106469361,-0.0131474153994797,0.1117087260464158,0.0806995862608369,0.1444307942549125,4.999750012499375e-05,0.0339807070218599,0.0186693771993398,0.0153113299390101,0.0080436095704797,0.0228833074548721,9.99950002499875e-05,I-JEPA-H/201
Pleural thickening,379,0.0163049811365839,-0.0154214105458247,-0.0353560895297804,0.0199346789839557,-0.0118541214664498,0.0541727220823884,0.2489375531223439,-0.0032589990291793,-0.0058329395694279,0.0025739405402486,-0.003311291832924,0.0088902389601187,0.4175291235438228,0.0056969732596565,0.0056090270130914,8.794623669752935e-05,-0.0009332512174987,0.0010835330795391,0.8691065446727664,I-JEPA-H/201
Pneumothorax,19,0.0648580155746509,-0.0831207350680702,-0.5898112937023766,0.5066905586343063,0.0844257933842508,1.0570770979555029,0.039998000099995,0.002582800991245,-0.0377604464118025,0.0403432474030475,0.0045948560064425,0.0882922807994518,0.0693465326733663,0.0264216818307575,0.0224551746107049,0.0039665071465271,-0.0114684255199359,0.0231076060981171,0.7428128593570321,I-JEPA-H/201
Pulmonary fibrosis,304,0.0313618431542024,0.0181831926793644,-0.1724817803472672,0.1906649730266317,0.1316588338375042,0.2546991001824407,4.999750012499375e-05,0.0051819356311553,-0.0293137525441125,0.0344956881752678,0.0239594695016306,0.0459946087665249,4.999750012499375e-05,0.0090825981215426,0.0107321805286885,-0.0016495824100179,-0.0031645591304069,-0.0001451366047508,0.0322983850807459,I-JEPA-H/201
Aortic enlargement,607,0.0214525923116363,-0.2831461866381632,-0.3525081619178443,0.0693619752796811,0.0524937074831525,0.0855542847956645,4.999750012499375e-05,-0.0553209416420986,-0.0652512712118751,0.0099303295697765,0.0069455481502588,0.012910983523805,4.999750012499375e-05,0.001220976893945,0.0009165574152977,0.0003044194789589,0.0002608608515864,0.0003472852971037,4.999750012499375e-05,MAE-H/97
Atelectasis,27,0.0544882015306122,-0.1275556551085578,-0.2553558741454725,0.1278002190369147,0.0597078938202725,0.2052913457127631,0.0012499375031248,-0.0031798668378205,-0.0137017668690532,0.0105219000312327,0.0037733295685352,0.0189644538790539,0.0007999600019999,0.0048007523572003,0.0042962365316472,0.000504515825553,-0.0003328070518465,0.0016081933112824,0.4001299935003249,MAE-H/97
