probe,mitigation,condition,setting,macro_auroc,f1,cosine_drift,l2_drift,model
clean_probe,none,clean,clean_probe,0.9104732546902924,0.3487796259912456,-8.980433285898926e-09,0.0,I-JEPA-H/95
clean_probe,none,noise_sigma=0.05,clean_probe,0.7646865149913374,0.1141796126547147,0.8886355757713318,90.51941680908205,I-JEPA-H/95
clean_probe,none,noise_sigma=0.10,clean_probe,0.6336046840515236,0.0937737946821051,0.9753099083900452,102.30722045898438,I-JEPA-H/95
clean_probe,none,brightness=-0.20,clean_probe,0.9001774878782773,0.3916074139478821,0.0356220081448555,11.753055572509766,I-JEPA-H/95
clean_probe,none,brightness=+0.20,clean_probe,0.8603085258632804,0.2435524541689528,0.16913503408432,24.165260314941406,I-JEPA-H/95
clean_probe,none,contrast=0.50,clean_probe,0.8777513524720136,0.2808325498688988,0.0704453140497207,16.337432861328125,I-JEPA-H/95
clean_probe,none,contrast=1.50,clean_probe,0.8775465361807833,0.3194329884225406,0.0748352333903312,15.828495025634766,I-JEPA-H/95
clean_probe,gaussian_smooth,noise_sigma=0.05,clean_probe,0.745525735598902,0.1915511623268409,0.3519994020462036,34.97760391235352,I-JEPA-H/95
clean_probe,gaussian_smooth,noise_sigma=0.10,clean_probe,0.5905140374208793,0.1245456871538004,0.8125643730163574,52.50973510742188,I-JEPA-H/95
clean_probe,median_filter,noise_sigma=0.05,clean_probe,0.8239365354198218,0.2858160574863409,0.2516634464263916,28.90763282775879,I-JEPA-H/95
clean_probe,median_filter,noise_sigma=0.10,clean_probe,0.6035360403995949,0.1317474927844026,0.8404710292816162,63.49525451660156,I-JEPA-H/95
robust_probe,train_aug,clean,robust_probe,0.9115203156254956,0.3778083626846137,-8.980433285898926e-09,0.0,I-JEPA-H/95
robust_probe,train_aug,noise_sigma=0.05,robust_probe,0.8495613551870437,0.1375459771294582,0.8897280097007751,90.68092346191406,I-JEPA-H/95
robust_probe,train_aug,noise_sigma=0.10,robust_probe,0.7031631552530379,0.0959981178149798,0.9753674268722534,102.3296356201172,I-JEPA-H/95
robust_probe,train_aug,brightness=-0.20,robust_probe,0.9040347863247964,0.3935816926129177,0.0356220081448555,11.753055572509766,I-JEPA-H/95
robust_probe,train_aug,brightness=+0.20,robust_probe,0.8847085626839913,0.3097365987781266,0.16913503408432,24.165260314941406,I-JEPA-H/95
robust_probe,train_aug,contrast=0.50,robust_probe,0.8957990424790654,0.3209603422571501,0.0704453140497207,16.337432861328125,I-JEPA-H/95
robust_probe,train_aug,contrast=1.50,robust_probe,0.8965430650111661,0.3692727277295128,0.0748352333903312,15.828495025634766,I-JEPA-H/95
clean_probe,none,clean,clean_probe,0.9162347415334804,0.3725918609966244,-7.232030085901897e-09,0.0,I-JEPA-H/201
clean_probe,none,noise_sigma=0.05,clean_probe,0.6434240665506297,0.0817153594504873,0.8728902339935303,71.2328109741211,I-JEPA-H/201
clean_probe,none,noise_sigma=0.10,clean_probe,0.5928465860141202,0.0699092867654535,0.9631800651550292,83.80642700195312,I-JEPA-H/201
clean_probe,none,brightness=-0.20,clean_probe,0.9094180575822146,0.4023017974098283,0.0403559431433677,10.841835975646973,I-JEPA-H/201
clean_probe,none,brightness=+0.20,clean_probe,0.8583976334269359,0.2986598618513392,0.1236830651760101,17.856657028198242,I-JEPA-H/201
