model,method,condition,perturbation,x_value,macro_auroc,auroc_drop,cosine_drift
I-JEPA-H/201,Linear,clean,gaussian_noise,0.0,0.9162262724326744,0.0,0.0
I-JEPA-H/201,Linear,gaussian_noise/sigma=0.05,gaussian_noise,0.05,0.6430667428733445,0.2731595295593298,0.872369647026062
I-JEPA-H/201,Linear,gaussian_noise/sigma=0.10,gaussian_noise,0.1,0.5960435731260078,0.3201826993066666,0.9631640911102296
I-JEPA-H/201,Linear,gaussian_noise/sigma=0.20,gaussian_noise,0.2,0.5860782487136474,0.3301480237190269,0.9598930478096008
I-JEPA-H/201,Linear,gaussian_noise/sigma=0.30,gaussian_noise,0.3,0.5881830402690386,0.3280432321636358,0.9526808261871338
I-JEPA-H/95,Linear,clean,gaussian_noise,0.0,0.9104941092150008,0.0,0.0
I-JEPA-H/95,Linear,gaussian_noise/sigma=0.05,gaussian_noise,0.05,0.7616439741313141,0.1488501350836866,0.8889057040214539
I-JEPA-H/95,Linear,gaussian_noise/sigma=0.10,gaussian_noise,0.1,0.6306172835545301,0.2798768256604707,0.9753112196922302
I-JEPA-H/95,Linear,gaussian_noise/sigma=0.20,gaussian_noise,0.2,0.5408042996555265,0.3696898095594743,0.976548194885254
I-JEPA-H/95,Linear,gaussian_noise/sigma=0.30,gaussian_noise,0.3,0.5421923165794471,0.3683017926355536,0.9744431972503662
MAE-H/300,Linear,clean,gaussian_noise,0.0,0.8909000031613622,0.0,0.0
MAE-H/300,Linear,gaussian_noise/sigma=0.05,gaussian_noise,0.05,0.7764509657891451,0.1144490373722171,0.1687051951885223
MAE-H/300,Linear,gaussian_noise/sigma=0.10,gaussian_noise,0.1,0.6181771013577161,0.2727229018036461,0.3190191388130188
MAE-H/300,Linear,gaussian_noise/sigma=0.20,gaussian_noise,0.2,0.4901620661576772,0.400737937003685,0.3388282060623169
MAE-H/300,Linear,gaussian_noise/sigma=0.30,gaussian_noise,0.3,0.4849494113382977,0.4059505918230645,0.3366777300834656
MAE-H/97,Linear,clean,gaussian_noise,0.0,0.8951135457847069,0.0,0.0
